Date,EUR,CAD,GBP,USD
2024-09-01,1.106072,0.741235,1.31305,1
2024-09-02,1.106623,0.740993,1.313801,1
2024-09-03,1.103875,0.737999,1.310127,1
2024-09-04,1.108224,0.739987,1.314734,1
2024-09-05,1.110026,0.739763,1.317133,1
2024-09-06,1.10761,0.736523,1.311665,1
2024-09-07,1.109262,0.736458,1.31315,1
2024-09-08,1.109262,0.736458,1.31315,1
2024-09-09,1.10485,0.738002,1.309518,1
2024-09-10,1.10284,0.735086,1.307147,1
2024-09-11,1.101601,0.736404,1.303755,1
2024-09-12,1.10435,0.7357,1.309372,1
2024-09-13,1.10831,0.735784,1.313008,1
2024-09-14,1.108463,0.735537,1.31235,1
2024-09-15,1.108463,0.735537,1.31235,1
2024-09-16,1.11283,0.735486,1.320742,1
2024-09-17,1.111914,0.735435,1.315547,1
2024-09-18,1.112471,0.735448,1.320768,1
2024-09-19,1.115785,0.738002,1.328559,1
2024-09-20,1.117493,0.737855,1.332951,1
2024-09-21,1.117443,0.736513,1.3317,1
2024-09-22,1.117443,0.736513,1.33225,1
2024-09-23,1.112359,0.740549,1.334115,1
2024-09-24,1.116059,0.743249,1.339549,1
2024-09-25,1.113462,0.742382,1.33336,1
2024-09-26,1.116801,0.741837,1.341031,1
2024-09-27,1.115349,0.740266,1.338894,1
2024-09-28,1.116819,0.739454,1.3371,1
2024-09-29,1.116819,0.739454,1.3371,1
2024-09-30,1.114678,0.740083,1.340123,1
2024-10-01,1.106317,0.740711,1.325873,1
2024-10-02,1.104521,0.741419,1.327052,1
2024-10-03,1.102858,0.738773,1.312,1
2024-10-04,1.095999,0.736534,1.311484,1
2024-10-05,1.098177,0.736404,1.31215,1
2024-10-06,1.098177,0.736404,1.31215,1
2024-10-07,1.098334,0.735054,1.309046,1
2024-10-08,1.097611,0.73189,1.30886,1
2024-10-09,1.094044,0.730367,1.306652,1
2024-10-10,1.090548,0.726454,1.303526,1
2024-10-11,1.094547,0.726644,1.307181,1
2024-10-12,1.094871,0.726401,1.3069,1
2024-10-13,1.094871,0.726401,1.3069,1
2024-10-14,1.090203,0.724892,1.305262,1
2024-10-15,1.089265,0.724596,1.307036,1
2024-10-16,1.086791,0.72615,1.300094,1
2024-10-17,1.082497,0.725171,1.300889,1
2024-10-18,1.08659,0.724769,1.304155,1
2024-10-19,1.087429,0.724034,1.30475,1
2024-10-20,1.087429,0.724034,1.30475,1
2024-10-21,1.081912,0.722262,1.298558,1
2024-10-22,1.080801,0.723014,1.297631,1
2024-10-23,1.077331,0.72246,1.292758,1
2024-10-24,1.080953,0.721397,1.295866,1
2024-10-25,1.08059,0.720435,1.297614,1
2024-10-26,1.079972,0.719813,1.2961,1
2024-10-27,1.079972,0.719813,1.29605,1
2024-10-28,1.081677,0.719554,1.298103,1
2024-10-29,1.079925,0.718365,1.299773,1
2024-10-30,1.086354,0.718574,1.300272,1
2024-10-31,1.085835,0.717749,1.286587,1
2024-11-01,1.08527,0.717234,1.295555,1
2024-11-02,1.08808,0.717234,1.29205,1
2024-11-03,1.08808,0.716769,1.29205,1
2024-11-04,1.088435,0.719562,1.294272,1
2024-11-05,1.091989,0.721839,1.301262,1
2024-11-06,1.072938,0.717489,1.288984,1
2024-11-07,1.07869,0.720897,1.298221,1
2024-11-08,1.071869,0.718533,1.291114,1
2024-11-09,1.072271,0.717782,1.29175,1
2024-11-10,1.072271,0.717782,1.29175,1
2024-11-11,1.065065,0.71852,1.286761,1
2024-11-12,1.060086,0.716661,1.273902,1
2024-11-13,1.056848,0.715246,1.271019,1
2024-11-14,1.056234,0.712901,1.270357,1
2024-11-15,1.054852,0.710316,1.262188,1
2024-11-16,1.054463,0.709195,1.2618,1
2024-11-17,1.054463,0.709195,1.2618,1
2024-11-18,1.057748,0.712489,1.265791,1
2024-11-19,1.058139,0.715538,1.266897,1
2024-11-20,1.052283,0.714418,1.264135,1
2024-11-21,1.047905,0.716312,1.259303,1
2024-11-22,1.039506,0.714919,1.25111,1
2024-11-23,1.041829,0.715282,1.25305,1
2024-11-24,1.041829,0.715282,1.25305,1
2024-11-25,1.047674,0.71424,1.254957,1
2024-11-26,1.048158,0.711083,1.25428,1
2024-11-27,1.057602,0.713033,1.267829,1
2024-11-28,1.055387,0.713801,1.268866,1
2024-11-29,1.054357,0.713417,1.269334,1
2024-11-30,1.057921,0.713496,1.2733,1
2024-12-01,1.057921,0.713496,1.27375,1
2024-12-02,1.048344,0.710596,1.263432,1
2024-12-03,1.051818,0.71082,1.267355,1
2024-12-04,1.052283,0.710495,1.271052,1
2024-12-05,1.056792,0.712378,1.275104,1
2024-12-06,1.056318,0.706796,1.274242,1
2024-12-07,1.057586,0.706339,1.2745,1
2024-12-08,1.057586,0.706339,1.27415,1
2024-12-09,1.056898,0.708055,1.277865,1
2024-12-10,1.051022,0.706028,1.275282,1
2024-12-11,1.051177,0.707942,1.276455,1
2024-12-12,1.051143,0.705074,1.271278,1
2024-12-13,1.050282,0.702558,1.262937,1
2024-12-14,1.050475,0.70242,1.26235,1
2024-12-15,1.050475,0.702469,1.26235,1
2024-12-16,1.051276,0.702839,1.269325,1
2024-12-17,1.050304,0.698348,1.271585,1
2024-12-18,1.046885,0.697659,1.269438,1
2024-12-19,1.036334,0.696229,1.25384,1
2024-12-20,1.042856,0.696519,1.258257,1
2024-12-21,1.043025,0.697248,1.25665,1
