Company,Invoice No.,Invoice Date,Due Date,Currency,Amount
Apple,11792,2024-11-17,2025-02-15,EUR,17618
Sage,11727,2024-11-30,2025-01-29,EUR,19695
Xero,11704,2024-11-30,2025-01-29,CAD,81308
Sage,11729,2024-11-04,2024-11-04,CAD,83677
Stripe,11778,2024-11-19,2025-02-17,USD,76828
Sage,11757,2024-11-01,2024-11-01,CAD,90322
Salesforce,11737,2024-11-25,2025-01-23,GBP,84169
Facebook,11721,2024-11-29,2025-01-27,EUR,92332
Stripe,11784,2024-11-20,2024-12-19,CAD,31113
Microsoft,11702,2024-11-27,2024-11-27,GBP,43605
Xero,11758,2024-11-14,2024-11-14,CAD,71806
Microsoft,11738,2024-11-21,2024-12-20,USD,95530
Sage,11784,2024-11-29,2025-02-27,EUR,77791
Google,11712,2024-11-10,2025-02-08,CAD,42415
Salesforce,11748,2024-11-27,2025-01-25,EUR,45982
Google,11776,2024-11-18,2024-12-17,USD,44110
Sage,11794,2024-11-15,2025-01-13,EUR,16491
Facebook,11740,2024-11-01,2024-11-30,EUR,62311
Microsoft,11768,2024-11-26,2025-01-24,USD,81758
American Express,11710,2024-11-21,2025-02-19,GBP,79229
Paypal,11767,2024-11-16,2024-11-16,USD,76154
Intuit,11770,2024-11-30,2025-02-28,CAD,57579
Apple,11787,2024-11-02,2025-01-30,USD,90574
Ramp,11746,2024-11-18,2024-11-18,EUR,96373
American Express,11775,2024-11-16,2024-11-16,GBP,67172
Ramp,11745,2024-11-01,2024-11-30,GBP,41033
Brex,11764,2024-11-30,2025-01-29,CAD,70282
